Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Big Time,,$0.09182,1.69%,$5.4 M,$458.75 M,$14.51 M,1.42x,$10.3 M,"Oct 10, 2023"
Cyber Arena,CAT,$0.000668,24.48%,$287.29 K,$3.35 M,,0.48x,$2.18 M,"Oct 5, 2023"
Hibiki Run,HUT,$0.000296,2.78%,$8.67,$592 K,,0.04x,$150 K,"Sep 29, 2023"
Wall Street Memes,WSM,$0.0025,-0.37%,$1.48 M,$4.76 M,$4.05 M,0.07x,,"Sep 26, 2023"
CrossFi,XFI,$0.6499,-0.60%,$996.79 K,$245.91 M,$24.86 M,0.61x,,"Sep 25, 2023"
Passage,PASG,$0.00673,0.45%,$1.79 K,$8.22 M,,0.42x,$6 M,"Sep 13, 2023"
Virtual Versions,VV,$0.000585,-1.90%,$17.32 K,$588 K,$15.71 K,0.08x,$1.34 M,"Sep 11, 2023"
GEODNET,GEOD,$0.1401,1.52%,$14.61 K,$139.41 M,$20.51 M,3.57x,$7 M,"Sep 7, 2023"
Cashtree Token,,$0.000462,-23.55%,$137.99 K,$2.28 M,$92.4 K,0.14x,$150.15 K,"Sep 6, 2023"
Connext,NEXT,$0.1092,0.21%,$2.34 M,$109.2 M,,0.07x,$28.8 M,"Sep 4, 2023"
Moove Protocol,MOOVE,$0.00536,3.20%,$108.59,$123.51 K,,0.06x,,"Sep 3, 2023"
Solidus AI Tech,AITECH,$0.07587,-2.52%,$3.58 M,$152.7 M,$54.58 M,5.61x,$6.84 M,"Aug 27, 2023"
MetaElfLand,MELD,$0.00164,-5.93%,$12.47 K,$16.8 M,,0.45x,,"Aug 25, 2023"
Lucky Bird,WBIRD,$0.3306,-8.20%,$67.09 K,$24.59 M,,0.07x,,"Aug 23, 2023"
Clipper,SAIL,$0.00679,-5.92%,$5.17 K,$6.74 M,,0.41x,$21 M,"Aug 22, 2023"
Releap Protocol,REAP,$0.000264,-20.51%,$99.22,$211.2 K,$43.98 K,0.05x,$2.1 M,"Aug 17, 2023"
HYTOPIA,TOPIA,$0.01702,2.70%,$41.92 K,$84.75 M,,0.64x,$3 M,"Aug 15, 2023"
CyberConnect,,$3.142,5.73%,$10.86 M,$313.7 M,$34.68 M,1.74x,$30.4 M,"Aug 14, 2023"
Sei Network,SEI,$0.3089,10.30%,$130.95 M,$3.09 B,$556.02 M,3.85x,$85 M,"Aug 14, 2023"
HMX,,$2.303,3.81%,$17.3 K,$22.95 M,,0.33x,,"Aug 6, 2023"
SeaPad,SPT,$0.0534,10.63%,$44.65 K,$5.15 M,,1.07x,$550 K,"Aug 6, 2023"
ZEEBU,,$4.816,-0.91%,$21.28 M,$24.09 B,,5.74x,$25 M,"Aug 2, 2023"
SpartaDEX,SPARTA,$0.09477,0.04%,$10.15 K,$94.77 M,,0.95x,$350 K,"Aug 2, 2023"
Ozone Metaverse,OZONE,$0.00153,-9.97%,$377.32 K,$1.42 M,$1.42 M,0.22x,$1.45 M,"Jul 28, 2023"
Grape,GRP,$1.167,1.40%,$131.22,$11.68 M,$310.24 K,0.01x,$35 M,"Jul 27, 2023"
Sable,SABLE,$0.00538,2.84%,$11.53,$536 K,$142.11 K,0.09x,$780 K,"Jul 27, 2023"
Brickken,BKN,$0.1336,4.73%,$62.28 K,$19.13 M,$8.42 M,1.34x,$3.2 M,"Jul 25, 2023"
SophiaVerse,SOPH,$0.02585,0.38%,$122.99 K,$25.88 M,,0.93x,$5.06 M,"Jul 24, 2023"
GameSwift,GSWIFT,$0.072,4.31%,$248.22 K,$100.88 M,$4.51 M,5x,$50 K,"Jul 23, 2023"
Worldcoin,WLD,$1.698,0.54%,$175.83 M,$17.01 B,$193.5 M,0.88x,$240 M,"Jul 23, 2023"
Hatom,HTM,$0.5567,2.22%,$1.88 K,$55.67 M,$9.28 M,1.39x,$8.06 M,"Jul 20, 2023"
Archway,ARCH,$0.03774,-3.54%,$34.17 K,$37.77 M,$1.89 M,0.19x,$27 M,"Jul 19, 2023"
DexCheck,DCK,$0.02811,2.37%,$2.3 M,$27.14 M,$9.54 M,2.82x,$2.34 M,"Jul 19, 2023"
Arkham,ARKM,$1.057,-0.22%,$54.85 M,$1.06 B,$216.26 M,21.12x,$14.5 M,"Jul 17, 2023"
Sabai Ecoverse,SABAI,$0.06542,4.76%,$8.13 K,$173.44 M,$22.89 M,4.35x,$200 K,"Jul 17, 2023"
Mantle,MNT,$0.6193,-0.53%,$164.16 M,$3.85 B,$2.02 B,1.29x,,"Jul 17, 2023"
Quasar,QSR,$0.04546,-6.07%,$11.58 K,$28.45 M,,1.22x,$11.5 M,"Jul 16, 2023"
